date,commodity,market,district,min_price,max_price,modal_price,arrivals_quintals
2023-01-01,Onion,Pimpalgaon Baswant,Nashik,755.2631578947369,1822.6842105263158,1374.7368421052631,
2023-01-02,Onion,Pimpalgaon Baswant,Nashik,721.1515151515151,1716.4242424242425,1361.5151515151515,
2023-01-03,Onion,Pimpalgaon Baswant,Nashik,696.8536585365854,1717.8048780487804,1345.6341463414635,
2023-01-04,Onion,Pimpalgaon Baswant,Nashik,744.5714285714286,1733.469387755102,1395.6734693877552,
2023-01-05,Onion,Pimpalgaon Baswant,Nashik,535.2941176470588,1643.3529411764705,1349.1176470588234,
2023-01-06,Onion,Pimpalgaon Baswant,Nashik,592.5925925925926,1672.5555555555557,1266.5925925925926,
2023-01-07,Onion,Pimpalgaon Baswant,Nashik,651.4634146341464,1688.6829268292684,1316.2439024390244,
2024-01-01,Onion,Pimpalgaon Baswant,Nashik,775.2291666666666,2217.3125,1721.4583333333333,
2024-01-02,Onion,Pimpalgaon Baswant,Nashik,825.4074074074074,2324.5,1789.4444444444443,
2025-01-01,Onion,Pimpalgaon Baswant,Nashik,1151.232142857143,3080.910714285714,2359.464285714286,
2025-01-02,Onion,Pimpalgaon Baswant,Nashik,1203.1904761904761,2993.6507936507937,2306.873015873016,
